outfits_lost,volume,liking_diff
29,21,-9
52,8,43
53,9,17
28,23,-23
30,26,-37
25,29,-45
23,28,-41
52,12,5
17,31,-45
31,20,1
55,7,35
51,9,33
13,34,-51
4,38,-45
25,27,-35
38,19,-13
38,20,-21
39,17,-5
60,3,43
34,19,-5
29,22,-15
26,30,-49
38,18,-9
29,27,-43
28,29,-47
52,9,29
51,10,19
27,28,-43
21,26,-27
48,11,23
47,12,11
31,21,-17
37,23,-33
50,10,21
56,6,37
27,24,-25
22,31,-51
49,10,33
49,11,21
20,34,-61
11,37,-61
8,35,-39
47,11,25
53,8,29
54,9,15
54,8,27
55,6,51
46,12,25
57,7,23
20,28,-39
23,25,-17
23,32,-55
21,36,-65
28,24,-27
34,25,-39
56,7,25
33,24,-35
25,31,-53
44,16,-9
24,33,-59
36,22,-29
58,5,33
15,34,-55
24,25,-23
18,31,-49
44,13,15
15,33,-51
41,18,-15
19,34,-57
0,42,-65
43,16,-3
9,35,-47
35,19,-11
6,38,-59
17,37,-67
32,25,-37
14,40,-73
30,28,-47
4,39,-59
50,12,7
20,27,-29
31,24,-29
33,21,-19
27,30,-53
26,23,-17
36,17,3
23,27,-33
43,18,-17
24,26,-33
51,11,7
60,2,49
34,18,7
22,29,-43
16,37,-63
29,23,-25
53,10,13
59,3,53
19,28,-29
51,13,-1
7,36,-53
30,21,-11
39,20,-23
41,17,-11
49,14,-3
27,26,-35
35,23,-31
31,27,-45
2,39,-55
9,33,-43
57,5,45
46,19,-21
61,1,55
13,32,-47
59,4,39
55,8,23
4,41,-69
25,25,-31
50,11,11
17,30,-41
11,34,-47
48,16,-11
38,16,13
47,13,1
10,35,-53
26,27,-37
58,6,29
58,4,47
54,7,41
15,30,-35
43,14,5
43,17,-13
28,22,-13
16,29,-35
42,14,19
19,29,-39
41,21,-27
30,22,-21
57,6,31
11,35,-57
6,36,-49
8,38,-63
21,30,-43
44,15,-5
32,19,-3
13,31,-37
39,16,-1
18,28,-25
40,19,-19
32,20,-13
11,32,-33
40,15,9
39,19,-17
56,8,21
25,24,-21
47,15,-7
35,18,-7
33,26,-41
34,20,-15
